Ly,Sally,999882177,sadly@ucdavis.edu
Sanders-Turner,Haley,912296300,hfsanders@ucdavis.edu
2017-05-23 18:40 (6:40P) in 3106 Kemper,,,
2017-05-23 19:00 (7:00P) in 3106 Kemper,,,
2017-05-23 19:20 (7:20P) in 3106 Kemper,,,
2017-05-23 19:40 (7:40P) in 3106 Kemper,,,
2017-05-24 17:40 (5:40P) in 3106 Kemper,,,
2017-05-24 18:00 (6:00P) in 3106 Kemper,,,
2017-05-24 18:00 (6:00P) in 55 Kemper,,,
2017-05-24 18:20 (6:20P) in 3106 Kemper,,,
2017-05-24 18:20 (6:20P) in 55 Kemper,,,
2017-05-24 18:40 (6:40P) in 3106 Kemper,,,
2017-05-24 18:40 (6:40P) in 55 Kemper,,,
2017-05-24 19:00 (7:00P) in 3106 Kemper,,,
2017-05-24 19:00 (7:00P) in 55 Kemper,,,
2017-05-24 19:20 (7:20P) in 3106 Kemper,,,
2017-05-24 19:20 (7:20P) in 55 Kemper,,,
2017-05-24 19:40 (7:40P) in 3106 Kemper,,,
2017-05-24 19:40 (7:40P) in 55 Kemper,,,
2017-05-25 18:20 (6:20P) in 3106 Kemper,,,
2017-05-25 18:20 (6:20P) in 55 Kemper,,,
2017-05-25 18:40 (6:40P) in 3106 Kemper,,,
2017-05-25 18:40 (6:40P) in 55 Kemper,,,
2017-05-25 19:00 (7:00P) in 3106 Kemper,,,
2017-05-25 19:00 (7:00P) in 55 Kemper,,,
2017-05-25 19:20 (7:20P) in 3106 Kemper,,,
2017-05-25 19:20 (7:20P) in 55 Kemper,,,
2017-05-25 19:40 (7:40P) in 3106 Kemper,,,
2017-05-25 19:40 (7:40P) in 55 Kemper,,,
2017-05-26 17:40 (5:40P) in 3106 Kemper,,,
2017-05-26 18:00 (6:00P) in 3106 Kemper,,,
2017-05-26 18:00 (6:00P) in 55 Kemper,,,
2017-05-26 18:20 (6:20P) in 3106 Kemper,,,
2017-05-26 18:20 (6:20P) in 55 Kemper,,,
2017-05-26 18:40 (6:40P) in 3106 Kemper,,,
2017-05-26 18:40 (6:40P) in 55 Kemper,,,
2017-05-26 19:00 (7:00P) in 3106 Kemper,,,
2017-05-26 19:00 (7:00P) in 55 Kemper,,,
2017-05-25 14:40 (2:40P) in 3106 Kemper,,,
2017-05-25 15:00 (3:00P) in 3106 Kemper,,,
2017-05-25 15:20 (3:20P) in 3106 Kemper,,,
2017-05-25 15:40 (3:40P) in 3106 Kemper,,,
2017-05-23 20:00 (8:00P) in 3106 Kemper,,,
2017-05-23 20:20 (8:20P) in 3106 Kemper,,,
2017-05-23 20:40 (8:40P) in 3106 Kemper,,,
2017-05-23 21:00 (9:00P) in 3106 Kemper,,,
2017-05-23 21:20 (9:20P) in 3106 Kemper,,,
2017-05-23 21:40 (9:40P) in 3106 Kemper,,,
2017-05-24 20:00 (8:00P) in 55 Kemper,,,
2017-05-24 20:20 (8:20P) in 55 Kemper,,,
2017-05-24 20:40 (8:40P) in 55 Kemper,,,
2017-05-24 21:00 (9:00P) in 55 Kemper,,,
2017-05-24 21:20 (9:20P) in 55 Kemper,,,
2017-05-24 21:40 (9:40P) in 55 Kemper,,,
2017-05-25 20:00 (8:00P) in 3106 Kemper,,,
2017-05-25 20:00 (8:00P) in 55 Kemper,,,
2017-05-25 20:20 (8:20P) in 3106 Kemper,,,
2017-05-25 20:20 (8:20P) in 55 Kemper,,,
2017-05-25 20:40 (8:40P) in 3106 Kemper,,,
2017-05-25 20:40 (8:40P) in 55 Kemper,,,
2017-05-25 21:00 (9:00P) in 3106 Kemper,,,
2017-05-25 21:00 (9:00P) in 55 Kemper,,,
2017-05-25 21:20 (9:20P) in 3106 Kemper,,,
2017-05-25 21:20 (9:20P) in 55 Kemper,,,
2017-05-25 21:40 (9:40P) in 3106 Kemper,,,
2017-05-25 21:40 (9:40P) in 55 Kemper,,,
2017-05-26 19:20 (7:20P) in 3106 Kemper,,,
2017-05-26 19:20 (7:20P) in 55 Kemper,,,
2017-05-26 19:40 (7:40P) in 3106 Kemper,,,
2017-05-26 19:40 (7:40P) in 55 Kemper,,,
2017-05-26 20:00 (8:00P) in 3106 Kemper,,,
2017-05-26 20:00 (8:00P) in 55 Kemper,,,
2017-05-26 20:20 (8:20P) in 3106 Kemper,,,
2017-05-26 20:20 (8:20P) in 55 Kemper,,,
2017-05-26 20:40 (8:40P) in 55 Kemper,,,
2017-05-23 17:00 (5:00P) in 3106 Kemper,,,
2017-05-23 17:20 (5:20P) in 3106 Kemper,,,
2017-05-23 17:40 (5:40P) in 3106 Kemper,,,
2017-05-23 18:00 (6:00P) in 3106 Kemper,,,
2017-05-23 18:20 (6:20P) in 3106 Kemper,,,
2017-05-25 14:00 (2:00P) in 3106 Kemper,,,
2017-05-25 14:20 (2:20P) in 3106 Kemper,,,
2017-05-25 18:00 (6:00P) in 3106 Kemper,,,
2017-05-25 18:00 (6:00P) in 55 Kemper,,,
